name,category,subCategory,launched,result,backers,country,pledged,goal,value
LoopBall: the first Bluetooth connected sport ball !,Technology,Technology,2017/06/20,failed,48,France,5248.04,53406.12,1
Escape the Boardgame 2nd Edition : Rebellion and Revolution,Tabletop Games,Games,2017/07/20,successful,381,France,41930.93,17802.04,1
Chikungunya - Le jeu qui vous aide à chasser les moustiques.,Mobile Games,Games,2017/06/19,failed,0,France,0,4153.81,1
Paris Montmartre - Restaurant fusion Franco-Coréen,Restaurants,Food,2017/06/04,failed,4,France,201.76,5934.01,1
FITCAZE | The iPhone case that does MORE.,Technology,Technology,2017/07/06,failed,360,France,29496.8,41538.1,1
"Diskio Pi, the ultime open source tablet.",Technology,Technology,2017/06/27,canceled,34,France,15676.48,474721.1,1
"OG Krunch : Appearances are deceptive, Just do eat !",Food,Food,2017/06/22,canceled,56,France,4016.14,142416.33,1
4.48 Psychose / Film interactif / Théâtre,Narrative Film,Film & Video,2017/07/07,failed,0,France,0,1898.88,1
"first book writing, Thriller, Fiction, Horror",Fiction,Publishing,2017/07/01,canceled,3,France,77.14,4153.81,1
"Our new album, MOT3L, is finished! Pre-order now to help!",Rock,Music,2017/06/27,successful,65,France,2295.28,1780.2,1
"Moyen-métrage d'Heroic Fantasy: ""l'Ombre et le Feu""",Fantasy,Film & Video,2017/06/30,failed,8,France,272.96,10681.22,1
Aquaponics Farm in Central Vietnam,Farms,Food,2017/06/29,successful,21,France,12114.61,11868.03,1
Créer une démocratie numérique : democratie-directe.eu,Web,Technology,2017/06/14,failed,2,France,47.47,5934.01,1
SupraMonitor,Sound,Technology,2017/06/09,failed,16,France,15655.12,213624.5,1
THE UPSIDE PAN - THE NEW WAY OF COOKING (Timer included),Technology,Technology,2017/06/07,suspended,11,France,2075.72,15428.44,1
Coacheeng lie coach et citoyen en recherche d’épanouissement,Web,Technology,2017/07/13,failed,1,France,24.63,4691.59,1
Qi Wireless Battery for X-Box One / One S Gamepad,Hardware,Technology,2017/06/27,failed,15,France,722.5,23457.93,1
2 SAINTS EDC tactical bronze tools & spinner & skull beads,Product Design,Design,2017/06/27,successful,38,France,6310.31,3518.69,1
The 30 second Meeting Spicer,Playing Cards,Games,2017/06/12,failed,45,France,1324.2,12901.86,1
sharewith.me / Sharing subscription between friends,Web,Technology,2017/06/26,failed,4,France,98.52,11728.97,1
Chinos for Plus Size Men,Apparel,Fashion,2017/06/26,failed,32,France,1908.3,17593.45,1
Four,Tabletop Games,Games,2017/06/26,failed,16,France,170.07,5864.48,1
TOLKIEN TALKS,Documentary,Film & Video,2017/06/22,failed,77,France,11316.69,17593.45,1
Gazette du wargamer - Numéro 0 - Été 2017,Web,Journalism,2017/07/10,successful,24,France,1179.93,1172.9,1
Aurelie Lecuyer,Apparel,Fashion,2017/07/04,successful,159,France,33051.06,28149.52,1
Pickomit - Share In Real Life,Camera Equipment,Technology,2017/06/20,failed,8,France,170.07,14661.21,1
Hunter,Video Games,Games,2017/06/19,successful,80,France,1886.02,1172.9,1
Moonchild,Shorts,Film & Video,2017/05/26,failed,2,France,140.75,938.32,1
"The Cycling Jersey - Craftsmanship, Speed & Style' Book",Photobooks,Photography,2017/06/30,successful,212,France,26502.77,21112.14,1
Héros & Sorcellerie,Video Games,Games,2017/05/25,canceled,1,France,5.86,4105.14,1
Innovation Center,Video Games,Games,2017/06/23,canceled,1,France,58.64,23457.93,1
Kingscape - An indie game with odd characters,Video Games,Games,2017/06/23,failed,55,France,3529.25,11728.97,1
The Tiger Lillies present Edgar Allan Poe's Haunted Palace,Music,Music,2017/05/24,failed,94,France,4883.94,17593.45,1
ANKHERA CLOTHING MADE IN AFRICA CROWDFUNDING,Apparel,Fashion,2017/05/24,canceled,1,France,5.86,11728.97,1
Le MONSTRE enregistre un livre symphonique pour enfants !,Kids,Music,2017/06/27,successful,68,France,4065.26,3987.85,1
Fabricant français de produits naturels pour chiens et chats,Food,Food,2017/06/22,failed,4,France,281.5,3518.69,1
"""Boo:ooM"" - Album & Animated Music Video Project",Music,Music,2017/06/20,successful,139,France,7609.75,4691.59,1
Keep it simple,Design,Design,2017/06/21,successful,105,France,8866.54,5820.99,1
3C CARBON CLIP : The fastest and slimmest wallet,Product Design,Design,2017/06/06,failed,499,France,36997.07,46567.94,1
"VISIO, the powerful mobile photoprojector",Camera Equipment,Technology,2017/06/19,successful,144,France,40858.71,17462.98,1
VASCO WATCH | NEW 24H TIMEPIECES,Product Design,Design,2017/06/15,successful,286,France,63833.01,18627.18,1
ART X NUDE X BOOK,Photobooks,Photography,2017/06/19,successful,69,France,3166.62,2619.45,1
"Dean's war - More strategy, more fun, Original CCG PVP game",Games,Games,2017/05/20,failed,1,France,11.64,2328.4,1
Mindful Voices Of Europe: slow life experiences (book),Publishing,Publishing,2017/06/17,failed,2,France,26.78,1746.3,1
Application mobile du site natureinpure,Nature,Photography,2017/05/18,canceled,0,France,0,23283.97,1
lucky's : the Rock-Paper-Scissors and Russian Roulette,Gaming Hardware,Games,2017/06/16,canceled,2,France,75.67,29104.96,1
Thermidor JRPG by HyperDevbox Japan,Video Games,Games,2017/06/16,failed,52,France,1858.06,174629.78,1
202 Green Hostel,Architecture,Design,2017/06/11,successful,34,France,4087.23,4074.69,1
Nanille Paris: Luxury brand for babies and kids!,Childrenswear,Fashion,2017/06/20,failed,2,France,31.43,9313.59,1
"Hoziak Paris: Designer womenswear, without the Markup.",Fashion,Fashion,2017/06/15,failed,13,France,3202.71,11641.99,1
Plus de télé pour Martin,Children's Books,Publishing,2017/06/15,successful,17,France,1757.94,1746.3,1
Walls on wheels project,Mixed Media,Art,2017/06/15,failed,0,France,0,17462.98,1
Expo photo Piiaf - @La Mano w/ Lewis Ofman,People,Photography,2017/06/24,successful,19,France,971.06,913.2,1
Chimera Sanctuary,Tabletop Games,Games,2017/06/19,successful,252,France,8334.09,4337.7,1
PROTEUS PROJECT,Space Exploration,Technology,2017/06/14,failed,13,France,386.97,285375.1,1
The Altar of Intentions (Burning Man 2017 - Camp AmaZONE),Public Art,Art,2017/06/14,successful,17,France,10723.51,10273.5,1
Fatal Space,Video Games,Games,2017/05/15,failed,3,France,18.26,2283,1
The Back Seat,Apparel,Fashion,2017/06/13,failed,1,France,1.14,3424.5,1
Easy and interchangeable : magnetic wallpaper,Product Design,Design,2017/05/29,failed,57,France,8763.3,17122.51,1
Boat made of Plastic Bottles,Woodworking,Crafts,2017/06/12,failed,13,France,296.79,570.75,1
"My Agenda, le journal de votre année",Publishing,Publishing,2017/06/12,successful,1003,France,34114.88,10273.5,1
Catalogue des 20 ans de Glassbox,Art Books,Publishing,2017/06/08,failed,61,France,2464.5,6278.25,1
EPHYRAN,Tabletop Games,Games,2017/06/20,successful,327,France,9579.76,5707.5,1
Melodisq: Screenless Music Player for Kids,Gadgets,Technology,2017/06/01,canceled,203,France,27698.51,79905.03,1
CACH’TRACK - Le Geocaching en jeu de cartes !!!,Games,Games,2017/05/27,failed,89,France,2848.04,6849,1
Livre: Fenêtre Sur Mon Cerveau,Fiction,Publishing,2017/05/12,canceled,11,France,291.56,1757.91,1
ALT X - EASY MODULAR BAG,Product Design,Design,2017/05/31,successful,51,France,11540.57,11415,1
"Barblanche ""Bientôt Chanteur""",Music,Music,2017/05/11,failed,3,France,102.74,11415,1
PREDATOR HOLOCAUST - fan film,Science Fiction,Film & Video,2017/06/08,canceled,28,France,1255.65,51367.52,1
Eco Friendly Weed Lamps,Product Design,Design,2017/05/24,failed,4,France,189.49,5707.5,1
PLUME DE PAPIER,Stationery,Crafts,2017/06/07,failed,0,France,0,912.96,1
EuropeanFashionAcademy 1º Académie de mode de luxe à Paris,Ready-to-wear,Fashion,2017/06/07,failed,2,France,26.25,342360.23,1
"Let's press ""Baïkonour"" on vinyl !",Pop,Music,2017/06/07,failed,69,France,3118.9,4564.8,1
Hi CROSS : Le meilleur gilet de protection équitation.,Wearables,Technology,2017/06/07,failed,1,France,5.71,17118.01,1
R-PUR - anti-pollution mask made in France,Fashion,Fashion,2017/06/06,successful,579,France,58634.9,17118.01,1
TWINWATCH,Fashion,Fashion,2017/06/20,successful,331,France,44027.53,11412.01,1
My Drawing Board | Ergonomic and functional drawing table,Design,Design,2017/06/06,successful,156,France,29935.98,7988.41,1
